PRODUCTO,MARCA,MODELO,IMGSRC,CODIGO
ANA HICKMANN AH MARI-7 D21,ANA HICKMANN,AH MARI-7 D21,https://loja.oticaademar.com.br/image/cache/catalog/Produtos/59475%20-%20Armacao%20Ana%20Hickmann%20MARI%207%20D21%2054-16%2001-800x800.jpg,2545                  
ANA HICKMANN AH MARI-7 N01,ANA HICKMANN,AH MARI-7 N01,https://loja.oticaademar.com.br/image/cache/catalog/Produtos/59476%20-%20Armacao%20Ana%20Hickmann%20MARI%207%20N01%2054-16%2001-800x800.jpg,2546                  
ANA HICKMANN AH NINA-3 N01,ANA HICKMANN,AH NINA-3 N01,https://loja.oticaademar.com.br/image/cache/catalog/Produtos/59481%20-%20Armacao%20Ana%20Hickmann%20NINA%203%20N01%2054-17%2001-800x800.jpg,2547                  
ANA HICKMANN AH NINA-4 N01,ANA HICKMANN,AH NINA-4 N01,https://loja.oticaademar.com.br/image/cache/catalog/Produtos/60706%20-%20Armacao%20Ana%20Hickmann%20NINA%204%20C02%2053-16%2001-350x350.jpg,2548                  
ANA HICKMANN AH RAFA-1 01A,ANA HICKMANN,AH RAFA-1 01A,https://anahickmanneyewear.com.br/wp-content/uploads/2025/04/RAFA-1-01A.png,2549                  
ANA HICKMANN AH RAFA-1 04A,ANA HICKMANN,AH RAFA-1 04A,https://cdn.sistemawbuy.com.br/arquivos/6e5a6d1d71db14f406a72b8dc627ea0a/produtos/681a3f6353220/16308-3b07c47c-1688-4ea1-8d98-b9070a53108c-681a3f63b5075.jpeg,2550                  
ANA HICKMANN AH RAFA-1 05A,ANA HICKMANN,AH RAFA-1 05A,https://images.tcdn.com.br/img/img_prod/1365112/ana_hickmann_rafa_1_05a_3733_2_c06fe6815101532b41bbd0cbf6e352e8.jpg,2551                  
ANA HICKMANN AH10011-07A,ANA HICKMANN,AH10011-07A,https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/armacao-ana-hickmann-ah10011-07a/olistplus/o2e0tvctivjd9mfz/7241f393e7732e6c599a454acdf5b8a3.jpeg,2710                  
ANA HICKMANN AH10055-07A,ANA HICKMANN,AH10055-07A,https://oticaview.com.br/media/catalog/product/_/c/_culos_de_grau_ana_hickmann_ah10055_07a_54_2_.jpg,2728                  
ANA HICKMANN AH10055-08A,ANA HICKMANN,AH10055-08A,https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/armacao-ana-hickmann-ah10055-08a/oliststore/mgln110pecsaaw6f/f1884ee598eb8f8041d15d70679f0b1c.jpeg,2720                  
ANA HICKMANN AH10056-01A,ANA HICKMANN,AH10056-01A,https://www.safira.com.br/cdn/imagens/produtos/det/armacao-feminina-ana-hickmann-ah10056-01a-ef11df78460b2383aad0dc8af7365f33.jpg,2318                  
ANA HICKMANN AH10056-07A,ANA HICKMANN,AH10056-07A,https://a-static.mlcdn.com.br/280x210/ana-hickmann-ah10056-08a-55-17/oticaviewsiteoficial/38675/df35eebfa27af79a539825ef0e352715.jpeg,2317                  
ANA HICKMANN AH10057-04B,ANA HICKMANN,AH10057-04B,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYhZe24NUV5qaKpsUK58Hq5uUeIewgdAwu4A&s,2722                  
ANA HICKMANN AH10057-05A,ANA HICKMANN,AH10057-05A,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-H1UEm_vNliOjthxC1HWAPic61R2KFCOXeg&s,2723                  
ANA HICKMANN AH10058-04A,ANA HICKMANN,AH10058-04A,https://www.safira.com.br/cdn/imagens/produtos/det/armacao-feminina-ana-hickmann-ah10058-04a-77e0780af9b686dd5d78f92e9494ac6e.jpg,2719                  
ANA HICKMANN AH10058-05A,ANA HICKMANN,AH10058-05A,https://images.tcdn.com.br/img/img_prod/1084939/oculos_de_grau_ana_hickmann_ar_ah10058_05a_56_feminino_gatinho_5078_1_51acd53e81e97a5899b3e8b179d27e87.jpg,2712                  
ANA HICKMANN AH10060-05A,ANA HICKMANN,AH10060-05A,https://www.safira.com.br/cdn/imagens/produtos/det/armacao-feminina-ana-hickmann-ah10060-05a-23ece96afebbe1868e3337b6cc437628.jpg,2706                  
ANA HICKMANN AH10069-07A,ANA HICKMANN,AH10069-07A,https://loja.oticaademar.com.br/image/cache/catalog/Produtos/59466%20-%20Armacao%20Ana%20Hickmann%20BEL%201%20AH10069%2001B%2053-16%2001-800x800.jpg,2708                  
ANA HICKMANN AH10069-12A,ANA HICKMANN,AH10069-12A,https://loja.oticaademar.com.br/image/cache/catalog/Produtos/59466%20-%20Armacao%20Ana%20Hickmann%20BEL%201%20AH10069%2001B%2053-16%2001-800x800.jpg,2714                  
ANA HICKMANN AH10070-01A,ANA HICKMANN,AH10070-01A,https://loja.oticaademar.com.br/image/cache/catalog/Produtos/59467%20-%20Armacao%20Ana%20Hickmann%20BEL%202%20AH10070%2001A%2055-17%2001-800x800.jpg,2715                  
ANA HICKMANN AH10070-06A,ANA HICKMANN,AH10070-06A,https://carrefourbr.vtexassets.com/arquivos/ids/190549666/image-0.jpg?v=638804253734700000,2711                  
ANA HICKMANN AH10070-13A,ANA HICKMANN,AH10070-13A,https://loja.oticaademar.com.br/image/cache/catalog/Produtos/59467%20-%20Armacao%20Ana%20Hickmann%20BEL%202%20AH10070%2001A%2055-17%2001-800x800.jpg,2716                  
ANA HICKMANN AH1350-07A,ANA HICKMANN,AH1350-07A,https://images.tcdn.com.br/img/img_prod/1365112/ana_hickmann_ah1350_07a_2379_1_cb21a77ac046893fb154117a23c007dc.jpg,2089                  
ANA HICKMANN AH1353-04AS,ANA HICKMANN,AH1353-04AS,https://oculosshop.com.br/cdn/shop/products/ana-hickmann-ah-1353-oculos-de-grau-04a-dourado-e-vermelho-mesclado-brilho-lente-5-5-cm_510f237d-cbd1-4428-ba88-cc845d061d90.jpg?v=1763463827,2079                  
ANA HICKMANN AH1353-04D,ANA HICKMANN,AH1353-04D,https://http2.mlstatic.com/D_NQ_NP_942518-MLB42494121619_072020-O.webp,2106                  
ANA HICKMANN AH1440-01A,ANA HICKMANN,AH1440-01A,https://imgs.casasbahia.com.br/1576724450/1xg.jpg?imwidth=1000,2725                  
ANA HICKMANN AH60003-H01,ANA HICKMANN,AH60003-H01,https://www.safira.com.br/cdn/imagens/produtos/det/oculos-de-grau-ana-hickmann-ah60003-h01-ce48fdef3c8b109b531900eccb2e88a9.jpg,1924                  
ANA HICKMANN AH60006-K01,ANA HICKMANN,AH60006-K01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRPDx7fkLy-35jRTquHV7xU4UT8X9TGuLzvg&s,1982                  
ANA HICKMANN AH60007-A01,ANA HICKMANN,AH60007-A01,https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/armacao-de-oculos-ana-hickmann-ah60007-a01-preto-brilho/lojasolare/ah60007-a01-v/14768adee83958a7ae295becb209dea4.jpeg,1983                  
ANA HICKMANN AH60013-G23,ANA HICKMANN,AH60013-G23,https://www.oticaperfil.com.br/image/cache/catalog/Ana-Hickmann-Grau/Ana-Hickmann-AH-60013-G23-54-1000x1000.png,1745                  
ANA HICKMANN AH60018-A01,ANA HICKMANN,AH60018-A01,https://loja.oticaademar.com.br/image/cache/catalog/Produtos//47247%20-%20Armacao%20Ana%20Hickmann%20AH60018%20A01%2054-16%2001-800x800.jpg,2083                  
ANA HICKMANN AH60019-A01,ANA HICKMANN,AH60019-A01,https://loja.oticaademar.com.br/image/cache/catalog/Produtos//47249%20-%20Armacao%20Ana%20Hickmann%20AH60019%20A01%2055-15%2001-800x800.jpg,2101                  
ANA HICKMANN AH60042-D01,ANA HICKMANN,AH60042-D01,https://images.tcdn.com.br/img/img_prod/877056/oculos_de_grau_ana_hickmann_feminino_ah60042_d01_13689_1_6bc7e996ae1876005b431d7e5111ed21.jpg,2281                  
ANA HICKMANN AH60047-G02,ANA HICKMANN,AH60047-G02,https://oculosshop.com.br/cdn/shop/files/56586.jpg?crop=center&height=1024&v=1723159761&width=1024,2278                  
ANA HICKMANN AH60057-A01,ANA HICKMANN,AH60057-A01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGGXvzWWarxcYb7DcsFd-B9X0keLABvfHAcw&s,2275                  
